Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1994-08-09,4.640178196978524e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.9621816747457265e-17,0.49999999999999994,-2.1189864527286085e-18,0.0,0.0,0.0,0.0,1.5612511283791264e-17,0.5
1994-08-10,-1.368813737008468e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.177362899821486e-17,0.5,1.701729858308833e-17,0.0,0.0,0.0,0.0,-1.734723475976807e-18,0.5
1994-08-11,2.630425870419619e-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.368669575235018e-17,0.4999999999962592,5.6813414766016565e-19,0.0,0.0,0.0,0.0,3.155028321932818e-17,0.5
1994-08-12,-3.08023207834146e-18,0.0,0.0,0.0,0.0,0.0,0.0,5.5450855362273536e-17,0.5,2.240561549942073e-18,0.0,0.0,0.0,0.0,-0.00935186240193375,0.49064813759806614
1994-08-15,3.6605672932764684e-18,0.0,0.0,0.0,0.0,0.5,0.0,2.510006389033775e-18,0.0,-5.084048331530986e-18,0.0,0.0,0.0,0.0,-0.06440257498695753,0.4355974250130425
1994-08-16,9.499810802409583e-18,0.0,0.0,0.0,0.0,0.5,0.0,-4.5347948128394046e-18,0.0,-6.673120918897928e-18,0.0,0.0,0.0,0.0,-0.0730776816945233,0.42692231830547667
1994-08-17,-1.7563446023849098e-18,0.0,0.0,0.0,0.0,0.5,0.0,4.2752240700962395e-18,0.0,-5.33471103680044e-19,0.0,0.0,0.0,0.0,-0.06048994492416466,0.43951005507583535
1994-08-18,-7.992129519811594e-20,0.0,0.0,0.0,0.0,0.5,0.0,-1.3273537669758894e-19,0.0,2.3792929455767058e-18,0.0,0.0,0.0,0.0,-0.07259389382819237,0.42740610617180774
1994-08-19,3.079609555344131e-18,0.0,0.0,0.0,0.0,0.5,0.0,-2.312421409552814e-17,0.0,-4.1964037967506994e-18,0.0,0.0,0.0,0.0,-0.0843501601506092,0.41564983984939086
1994-08-22,-7.524754790523574e-18,0.0,0.0,0.0,0.0,0.5,0.0,2.0792711020671223e-17,0.0,5.801991093265185e-18,0.0,0.0,0.0,0.0,-0.09302290331340571,0.40697709647730423
